记录编号,部门,员工级别,费用类型,报销金额,发票金额,金额差额,发票张数,费用发生后提交天数,审批层级数,近30天同供应商报销次数,员工近30天报销次数,员工近6个月退回次数,同类费用平均金额,高于同类平均金额比例,部门预算使用率,发票抬头是否一致,是否有合同附件,是否周末发生费用,是否疑似重复发票,供应商信用等级,审核结果
R000001,行政部,经理,培训费,8989,8995,6,6,4,3,0,4,0,2600,2.4573,0.7263,是,是,否,否,B,人工复核
R000002,财务部,普通员工,咨询服务费,11850,11850,0,3,45,4,2,4,1,6500,0.8231,0.7937,是,是,否,否,B,人工复核
R000003,市场部,主管,交通费,423,373,50,3,56,1,8,17,1,350,0.2086,1.1354,是,否,否,否,A,退回
R000004,销售部,普通员工,维修费,2241,2524,283,3,34,2,1,1,1,1500,0.494,0.7072,是,否,否,否,A,退回
R000005,信息技术部,普通员工,差旅费,3509,3509,0,2,14,2,8,2,0,1800,0.9494,1.1095,是,是,否,否,C,人工复核
R000006,行政部,经理,差旅费,3025,3025,0,2,27,2,7,7,0,1800,0.6806,0.4057,是,否,否,否,C,通过
R000007,销售部,经理,培训费,4118,4118,0,4,5,2,5,1,1,2600,0.5838,0.7857,是,是,是,否,B,通过
R000008,市场部,普通员工,交通费,276,281,5,2,29,1,0,1,0,350,-0.2114,0.439,是,否,是,否,A,通过
R000009,信息技术部,普通员工,办公用品,1296,1329,33,2,9,2,4,16,0,700,0.8514,0.9931,是,否,否,否,B,人工复核
R000010,销售部,普通员工,培训费,2371,2406,35,1,31,2,5,6,2,2600,-0.0881,0.7582,是,是,是,否,A,人工复核
R000011,行政部,普通员工,差旅费,1063,1063,0,4,1,2,11,4,0,1800,-0.4094,0.7912,是,是,否,否,B,通过
R000012,市场部,主管,差旅费,7577,7549,28,3,17,3,6,5,0,1800,3.2094,0.7613,否,否,否,否,C,人工复核
R000013,销售部,普通员工,差旅费,3191,3250,59,4,35,2,5,2,0,1800,0.7728,0.9144,是,否,是,否,B,人工复核
R000014,生产部,普通员工,会议费,2164,2164,0,4,35,2,16,3,0,3200,-0.3238,0.6434,是,是,否,否,B,人工复核
R000015,销售部,经理,差旅费,1973,1973,0,1,29,2,8,5,1,1800,0.0961,0.7536,是,否,否,否,A,通过
R000016,财务部,经理,招待费,3827,3827,0,1,6,2,2,2,2,2200,0.7395,0.7931,是,否,否,否,A,通过
R000017,信息技术部,普通员工,会议费,1744,1940,196,4,22,2,4,6,2,3200,-0.455,0.5852,是,是,否,否,B,人工复核
R000018,行政部,普通员工,会议费,2819,2819,0,1,6,2,1,1,3,3200,-0.1191,0.4586,是,是,否,否,A,通过
R000019,采购部,普通员工,维修费,769,769,0,2,7,1,8,4,0,1500,-0.4873,0.6932,是,是,否,否,B,通过
R000020,生产部,经理,广告宣传费,7229,7229,0,3,26,3,0,2,1,5000,0.4458,0.5819,是,是,是,否,A,通过
R000021,财务部,主管,差旅费,2845,2845,0,4,15,2,2,2,2,1800,0.5806,0.9607,是,否,否,否,A,通过
R000022,销售部,主管,办公用品,2279,2279,0,5,37,2,7,4,2,700,2.2557,0.6704,是,否,否,否,B,退回
R000023,信息技术部,实习生,交通费,1065,1065,0,8,43,2,15,3,0,350,2.0429,0.4406,是,是,否,否,B,人工复核
R000024,生产部,主管,广告宣传费,19711,19701,10,6,16,4,0,2,0,5000,2.9422,0.7447,是,是,否,否,A,人工复核
R000025,信息技术部,普通员工,培训费,3771,3771,0,2,38,2,3,14,0,2600,0.4504,1.1264,否,否,是,否,A,退回
R000026,市场部,实习生,招待费,929,929,0,1,10,1,7,6,0,2200,-0.5777,1.0004,是,否,否,否,A,通过
R000027,信息技术部,实习生,维修费,2083,2700,617,3,21,2,4,3,0,1500,0.3887,1.0335,是,是,否,否,C,人工复核
R000028,市场部,实习生,交通费,1106,1108,2,3,27,2,4,2,0,350,2.16,0.7609,是,否,否,否,C,人工复核
R000029,人力资源部,普通员工,维修费,2466,2466,0,3,28,2,6,4,0,1500,0.644,0.6981,是,是,否,否,A,通过
R000030,财务部,普通员工,办公用品,1169,1169,0,1,40,2,6,3,1,700,0.67,0.8315,是,否,否,否,A,退回
R000031,人力资源部,普通员工,维修费,1034,1034,0,1,28,2,8,5,1,1500,-0.3107,0.6953,是,是,否,否,B,人工复核
R000032,销售部,普通员工,交通费,566,573,7,2,1,1,6,5,1,350,0.6171,0.9253,是,是,否,否,B,人工复核
R000033,采购部,主管,差旅费,2608,2608,0,4,5,2,6,4,0,1800,0.4489,0.9599,是,否,否,否,B,通过
R000034,人力资源部,实习生,办公用品,528,528,0,4,50,1,10,2,3,700,-0.2457,0.6856,是,是,否,否,A,人工复核
R000035,财务部,经理,招待费,1130,1160,30,2,13,2,13,6,0,2200,-0.4864,0.3625,是,是,否,否,B,人工复核
R000036,信息技术部,主管,广告宣传费,23166,23166,0,3,4,4,7,7,1,5000,3.6332,0.7527,是,是,否,否,B,人工复核
